,질문
0,"보유중인 자동차를 팔고 싶은데, 어떻게 하면 좋을까요?"
1,포인트는 어떻게 활용하나요?
2,폐차 의뢰 및 신청은 어떻게 하나요?
3,내차를 좀 더 좋은 값에 판매 할 수 있는 방법은 없나요?
4,"보유중인 자동차를 팔고 싶은데, 어떻게 하면 좋을까요?"
5,차량구입시 신용카드는 얼마까지 이용할 수 있나요?
6,차량구입시 신용카드는 복수의 카드로 결제가 가능한가요?
7,세이브오토 이용에 관해 알고 싶습니다.
8,차량에 부과되는 세금은 어떤 종류가 있나요?
9,신차 구입시 기존에 타던 차량을 팔고 인도금으로 대체할 수 있나요?
10,"보유중인 자동차를 팔고 싶은데, 어떻게 하면 좋을까요?"
11,포인트는 어떻게 활용하나요?
12,폐차 의뢰 및 신청은 어떻게 하나요?
13,내차를 좀 더 좋은 값에 판매 할 수 있는 방법은 없나요?
14,"보유중인 자동차를 팔고 싶은데, 어떻게 하면 좋을까요?"
15,차량구입시 신용카드는 얼마까지 이용할 수 있나요?
16,차량구입시 신용카드는 복수의 카드로 결제가 가능한가요?
17,세이브오토 이용에 관해 알고 싶습니다.
18,차량에 부과되는 세금은 어떤 종류가 있나요?
19,신차 구입시 기존에 타던 차량을 팔고 인도금으로 대체할 수 있나요?
20,차량구입시 의무보험료란 금액을 납부하였습니다. 이것은 어떤 종류의 보험인가요?
21,현대자동차 차량을 구입하려면 어떻게 해야하나요?
22,차량대금을 신용카드로 결제할 경우 소득공제가 가능한가요?
23,자동차 리스로 차를 구매하고 싶어요
24,현대자동차에서 중고차를 구입할 수 있나요?
25,자동차 리스에 대해 알고 싶어요
26,현대자동차 신차구입시 사용할 수 있는 포인트는 뭐가 있나요?
27,본인 이외의 가족이 보유한 포인트를 사용할 수 있나요?
28,포인트의 유효기간은 어떻게 되나요?
29,세이브오토를 취소하려고 하는데 취소 방법은 어떻게 되나요?
30,장애인 조건으로 차량구입시 혜택을 알고 싶습니다.
31,고엽제 후유증 환자의 면세조건에 대해 알고 싶어요
32,광주민주화운동 부상자 면세조건에 대해 알고 싶습니다.
33,장애인 가족이 사망했을 경우 장애인용 LPG 차량은 어떻게 해야하나요?
34,장애인차량 구입조건에 대해 알고 싶습니다.
35,현재 장애인조건의 차량을 보유하고 있습니다. 장애인조건 차량의 추가구입이 가능하나요?
36,세이브오토 및 M포인트 차감을 통해 차량가격을 할인받았습니다. 그런데 세금계산서상 금액과 차이가 있는데 왜 그런가요?
37,차량구입에 관련된 금액은 어떠한 결제방식이 있나요?
38,차량 대금을 신용카드로 결제하려고 합니다. 계약자 이외의 다른 사람의 카드로 결제가 가능한가요?
39,할부금을 카드로 결제할 수 있나요?
40,"보유중인 자동차를 팔고 싶은데, 어떻게 하면 좋을까요?"
41,포인트는 어떻게 활용하나요?
42,폐차 의뢰 및 신청은 어떻게 하나요?
43,내차를 좀 더 좋은 값에 판매 할 수 있는 방법은 없나요?
44,"보유중인 자동차를 팔고 싶은데, 어떻게 하면 좋을까요?"
45,차량구입시 신용카드는 얼마까지 이용할 수 있나요?
46,차량구입시 신용카드는 복수의 카드로 결제가 가능한가요?
47,세이브오토 이용에 관해 알고 싶습니다.
48,차량에 부과되는 세금은 어떤 종류가 있나요?
49,신차 구입시 기존에 타던 차량을 팔고 인도금으로 대체할 수 있나요?
50,"(상용) 수동재생 진행 중, 시동을 꺼도 되나요?"
51,(상용) 주행 중 갑자기 엔진 출력이 떨어지면서 노킹 현상이 나타납니다. 왜 그런가요?
52,(상용) 주행 중 갑자기 시동이 꺼지는 현상이 발생합니다. 어디에 문제가 있는 것일까요?
53,(상용) 유로6차량 DPF의 자동재생은 언제 작동하나요?
54,(상용) 자동재생 도중 신호대기 및 차량 주/정차 시 재생은 어떻게 되나요?
55,(상용) 자동재생 중 아이들 RPM은 왜 높은가요?
56,(상용) 자동재생 도중 차량을 멈추고 시동을 꺼도 되나요?
57,(상용) 자동재생 돌입 가능 조건은 어떻게 되나요?
58,(상용) 수동재생은 언제 하나요?
59,"(상용) 수동재생 시, 주의해야 할 사항은 무엇인가요?"
60,(상용) 수동재생 후 검댕이 게이지가 남아 있어도 상관없나요?
61,(상용) 수동재생  가능 조건은 어떻게 되나요?
62,(상용 특장) 엑시언트 덤프차량 판 스프링 보증기간이 어떻게 되나요?
63,(상용 특장) 특장 어퍼바디 장착 작업 시 기술적인 지원이나 관련 자료가 필요한 경우가 많이 있습니다. 어디로 문의를 드리면 되나요?
64,"(상용 특장) 법인명의지입, 개인사업자, 특장업체 출고 차량은 어떻게 등록하나요?"
65,정비 예약 확인/취소는 어떻게 하나요?
66,정비관련 업체구분은 어떻게 하나요?
67,차량의 연비가 안 좋은데 어떻게 해야 하지요?
68,인터넷으로 정비예약은 어떻게 하는건가요?
69,탬퍼러리 타이어(임시타이어)를 적용하는 이유가 뭔가요?
70,"자동차에서 소음이 생기는 경우, 리콜을 받을 수 있나요?"
71,에어백은 언제 터지나요? 에어백의 작동 조건을 알고 싶습니다.
72,"에어백을 장착하는 것이 오히려 사고시 위험하다는 이야기가 있던데, 정말인가요?"
73,냉매량이 부족한지 에어컨 냉방성능이 떨어진 것 같습니다. 어떻게 하면 좋을까요?
74,"오랜만에 에어컨을 켰는데, 냄새가 납니다. 어떻게 청소하면 좋을까요?"
75,"겨울철 창문에 생기는 김서림, 신속히 제거하는 방법이 없을까요?"
76,"자동변속기 차량의 HOLD, O/D OFF 버튼은 어떤 때 써야 합니까?"
77,블루투스 등록 방법
78,"차량별 와이퍼 사이즈,핸들사이즈,전구 규격 사이즈 문의"
79,타이밍벨트 체인 적용 여부 문의
80,"(상용) 수동재생 진행 중, 시동을 꺼도 되나요?"
81,(상용) 주행 중 갑자기 엔진 출력이 떨어지면서 노킹 현상이 나타납니다. 왜 그런가요?
82,(상용) 주행 중 갑자기 시동이 꺼지는 현상이 발생합니다. 어디에 문제가 있는 것일까요?
83,(상용) 유로6차량 DPF의 자동재생은 언제 작동하나요?
84,(상용) 자동재생 도중 신호대기 및 차량 주/정차 시 재생은 어떻게 되나요?
85,(상용) 자동재생 중 아이들 RPM은 왜 높은가요?
86,(상용) 자동재생 도중 차량을 멈추고 시동을 꺼도 되나요?
87,(상용) 자동재생 돌입 가능 조건은 어떻게 되나요?
88,(상용) 수동재생은 언제 하나요?
89,"(상용) 수동재생 시, 주의해야 할 사항은 무엇인가요?"
90,실 운행자 등록 방법은 어떻게 되나요?
